2025-11-21 14:50:14 - analyzer - DEBUG - 从班级名称 '三年级121班' 中提取到年级: 3
2025-11-21 14:50:14 - analyzer - DEBUG - 从班级名称 '三年级122班' 中提取到年级: 3
2025-11-21 14:50:14 - analyzer - DEBUG - 从班级名称 '三年级123班' 中提取到年级: 3
2025-11-21 14:50:14 - analyzer - DEBUG - 从班级名称 '三年级124班' 中提取到年级: 3
2025-11-21 14:50:15 - analyzer - DEBUG - 从班级名称 '三年级125班' 中提取到年级: 3
2025-11-21 14:50:15 - analyzer - DEBUG - 从班级名称 '三年级126班' 中提取到年级: 3
2025-11-21 14:50:15 - analyzer - DEBUG - 从班级名称 '三年级127班' 中提取到年级: 3
2025-11-21 14:50:15 - analyzer - DEBUG - 从班级名称 '三年级128班' 中提取到年级: 3
2025-11-21 14:50:15 - analyzer - DEBUG - 从班级名称 '三年级129班' 中提取到年级: 3
2025-11-21 14:50:16 - analyzer - DEBUG - 从班级名称 '三年级12班' 中提取到年级: 3
2025-11-21 14:50:16 - analyzer - DEBUG - 从班级名称 '三年级130班' 中提取到年级: 3
2025-11-21 14:50:16 - analyzer - DEBUG - 从班级名称 '三年级131班' 中提取到年级: 3
2025-11-21 14:50:16 - analyzer - DEBUG - 从班级名称 '三年级132班' 中提取到年级: 3
2025-11-21 14:50:16 - analyzer - DEBUG - 从班级名称 '三年级133班' 中提取到年级: 3
2025-11-21 14:50:16 - analyzer - DEBUG - 从班级名称 '三年级134班' 中提取到年级: 3
2025-11-21 14:50:17 - analyzer - DEBUG - 从班级名称 '三年级135班' 中提取到年级: 3
2025-11-21 14:50:17 - analyzer - DEBUG - 从班级名称 '三年级136班' 中提取到年级: 3
2025-11-21 14:50:17 - analyzer - DEBUG - 从班级名称 '三年级137班' 中提取到年级: 3
2025-11-21 14:50:17 - analyzer - DEBUG - 从班级名称 '三年级138班' 中提取到年级: 3
2025-11-21 14:50:17 - analyzer - DEBUG - 从班级名称 '三年级139班' 中提取到年级: 3
2025-11-21 14:50:18 - analyzer - DEBUG - 从班级名称 '三年级13班' 中提取到年级: 3
2025-11-21 14:50:18 - analyzer - DEBUG - 从班级名称 '三年级140班' 中提取到年级: 3
2025-11-21 14:50:18 - analyzer - DEBUG - 从班级名称 '三年级141班' 中提取到年级: 3
2025-11-21 14:50:18 - analyzer - DEBUG - 从班级名称 '三年级142班' 中提取到年级: 3
2025-11-21 14:50:18 - analyzer - DEBUG - 从班级名称 '三年级143班' 中提取到年级: 3
2025-11-21 14:50:19 - analyzer - DEBUG - 从班级名称 '三年级144班' 中提取到年级: 3
2025-11-21 14:50:19 - analyzer - DEBUG - 从班级名称 '三年级145班' 中提取到年级: 3
2025-11-21 14:50:19 - analyzer - DEBUG - 从班级名称 '三年级146班' 中提取到年级: 3
2025-11-21 14:50:19 - analyzer - DEBUG - 从班级名称 '三年级14班' 中提取到年级: 3
2025-11-21 14:50:19 - analyzer - DEBUG - 从班级名称 '三年级15班' 中提取到年级: 3
2025-11-21 14:50:19 - analyzer - DEBUG - 从班级名称 '三年级16班' 中提取到年级: 3
2025-11-21 14:50:20 - analyzer - DEBUG - 从班级名称 '三年级17班' 中提取到年级: 3
2025-11-21 14:50:20 - analyzer - DEBUG - 从班级名称 '三年级18班' 中提取到年级: 3
2025-11-21 14:50:20 - analyzer - DEBUG - 从班级名称 '三年级19班' 中提取到年级: 3
2025-11-21 14:50:20 - analyzer - DEBUG - 从班级名称 '三年级1班' 中提取到年级: 3
2025-11-21 14:50:21 - analyzer - DEBUG - 从班级名称 '三年级20班' 中提取到年级: 3
2025-11-21 14:50:21 - analyzer - DEBUG - 从班级名称 '三年级21班' 中提取到年级: 3
2025-11-21 14:50:21 - analyzer - DEBUG - 从班级名称 '三年级22班' 中提取到年级: 3
2025-11-21 14:50:21 - analyzer - DEBUG - 从班级名称 '三年级23班' 中提取到年级: 3
2025-11-21 14:50:21 - analyzer - DEBUG - 从班级名称 '三年级24班' 中提取到年级: 3
2025-11-21 14:50:22 - analyzer - DEBUG - 从班级名称 '三年级25班' 中提取到年级: 3
2025-11-21 14:50:22 - analyzer - DEBUG - 从班级名称 '三年级26班' 中提取到年级: 3
2025-11-21 14:50:22 - analyzer - DEBUG - 从班级名称 '三年级27班' 中提取到年级: 3
2025-11-21 14:50:22 - analyzer - DEBUG - 从班级名称 '三年级28班' 中提取到年级: 3
2025-11-21 14:50:22 - analyzer - DEBUG - 从班级名称 '三年级29班' 中提取到年级: 3
2025-11-21 14:50:22 - analyzer - DEBUG - 从班级名称 '三年级2班' 中提取到年级: 3
2025-11-21 14:50:23 - analyzer - DEBUG - 从班级名称 '三年级30班' 中提取到年级: 3
2025-11-21 14:50:23 - analyzer - DEBUG - 从班级名称 '三年级31班' 中提取到年级: 3
2025-11-21 14:50:23 - analyzer - DEBUG - 从班级名称 '三年级32班' 中提取到年级: 3
2025-11-21 14:50:23 - analyzer - DEBUG - 从班级名称 '三年级33班' 中提取到年级: 3
2025-11-21 14:50:24 - analyzer - DEBUG - 从班级名称 '三年级34班' 中提取到年级: 3
2025-11-21 14:50:24 - analyzer - DEBUG - 从班级名称 '三年级35班' 中提取到年级: 3
2025-11-21 14:50:24 - analyzer - DEBUG - 从班级名称 '三年级36班' 中提取到年级: 3
2025-11-21 14:50:24 - analyzer - DEBUG - 从班级名称 '三年级37班' 中提取到年级: 3
2025-11-21 14:50:24 - analyzer - DEBUG - 从班级名称 '三年级38班' 中提取到年级: 3
2025-11-21 14:50:25 - analyzer - DEBUG - 从班级名称 '三年级39班' 中提取到年级: 3
2025-11-21 14:50:25 - analyzer - DEBUG - 从班级名称 '三年级3班' 中提取到年级: 3
2025-11-21 14:50:25 - analyzer - DEBUG - 从班级名称 '三年级40班' 中提取到年级: 3
2025-11-21 14:50:25 - analyzer - DEBUG - 从班级名称 '三年级41班' 中提取到年级: 3
2025-11-21 14:50:26 - analyzer - DEBUG - 从班级名称 '三年级42班' 中提取到年级: 3
2025-11-21 14:50:26 - analyzer - DEBUG - 从班级名称 '三年级43班' 中提取到年级: 3
2025-11-21 14:50:26 - analyzer - DEBUG - 从班级名称 '三年级44班' 中提取到年级: 3
2025-11-21 14:50:26 - analyzer - DEBUG - 从班级名称 '三年级45班' 中提取到年级: 3
2025-11-21 14:50:26 - analyzer - DEBUG - 从班级名称 '三年级46班' 中提取到年级: 3
2025-11-21 14:50:27 - analyzer - DEBUG - 从班级名称 '三年级47班' 中提取到年级: 3
2025-11-21 14:50:27 - analyzer - DEBUG - 从班级名称 '三年级48班' 中提取到年级: 3
2025-11-21 14:50:27 - analyzer - DEBUG - 从班级名称 '三年级49班' 中提取到年级: 3
2025-11-21 14:50:27 - analyzer - DEBUG - 从班级名称 '三年级4班' 中提取到年级: 3
2025-11-21 14:50:28 - analyzer - DEBUG - 从班级名称 '三年级50班' 中提取到年级: 3
2025-11-21 14:50:28 - analyzer - DEBUG - 从班级名称 '三年级51班' 中提取到年级: 3
2025-11-21 14:50:28 - analyzer - DEBUG - 从班级名称 '三年级52班' 中提取到年级: 3
2025-11-21 14:50:28 - analyzer - DEBUG - 从班级名称 '三年级53班' 中提取到年级: 3
2025-11-21 14:50:29 - analyzer - DEBUG - 从班级名称 '三年级54班' 中提取到年级: 3
2025-11-21 14:50:29 - analyzer - DEBUG - 从班级名称 '三年级55班' 中提取到年级: 3
2025-11-21 14:50:29 - analyzer - DEBUG - 从班级名称 '三年级56班' 中提取到年级: 3
2025-11-21 14:50:29 - analyzer - DEBUG - 从班级名称 '三年级57班' 中提取到年级: 3
2025-11-21 14:50:30 - analyzer - DEBUG - 从班级名称 '三年级58班' 中提取到年级: 3
2025-11-21 14:50:30 - analyzer - DEBUG - 从班级名称 '三年级59班' 中提取到年级: 3
2025-11-21 14:50:30 - analyzer - DEBUG - 从班级名称 '三年级5班' 中提取到年级: 3
2025-11-21 14:50:30 - analyzer - DEBUG - 从班级名称 '三年级60班' 中提取到年级: 3
2025-11-21 14:50:30 - analyzer - DEBUG - 从班级名称 '三年级61班' 中提取到年级: 3
2025-11-21 14:50:31 - analyzer - DEBUG - 从班级名称 '三年级62班' 中提取到年级: 3
2025-11-21 14:50:31 - analyzer - DEBUG - 从班级名称 '三年级63班' 中提取到年级: 3
2025-11-21 14:50:31 - analyzer - DEBUG - 从班级名称 '三年级64班' 中提取到年级: 3
2025-11-21 14:50:31 - analyzer - DEBUG - 从班级名称 '三年级65班' 中提取到年级: 3
2025-11-21 14:50:32 - analyzer - DEBUG - 从班级名称 '三年级66班' 中提取到年级: 3
2025-11-21 14:50:32 - analyzer - DEBUG - 从班级名称 '三年级67班' 中提取到年级: 3
2025-11-21 14:50:32 - analyzer - DEBUG - 从班级名称 '三年级68班' 中提取到年级: 3
2025-11-21 14:50:32 - analyzer - DEBUG - 从班级名称 '三年级69班' 中提取到年级: 3
2025-11-21 14:50:33 - analyzer - DEBUG - 从班级名称 '三年级6班' 中提取到年级: 3
